id,title,description,link,image_link,price,availability,condition,brand,mpn,google_product_category
awl-donation-10,Support Animal Rescue – $10 Donation,"Help provide food, shelter, and medical care for rescued animals.",https://animalwelfareleague.com/donate/,https://animalwelfareleague.com/wp-content/uploads/2023/01/donate.jpg,10.00 USD,in stock,new,Animal Welfare League,AWL-DON-10,Animals & Pet Supplies
awl-sponsor,Animal Sponsorship Program,Sponsor an animal and directly support its care and rehabilitation.,https://animalwelfareleague.com/donate/,https://animalwelfareleague.com/wp-content/uploads/2023/01/shelter.jpg,25.00 USD,in stock,new,Animal Welfare League,AWL-SPONSOR-25,Animals & Pet Supplies
